source,target,weight
B001277,B001288,326
B001277,W000817,318
M000133,W000817,314
S000033,W000817,300
B001277,M001176,296
B001277,P000145,294
B001288,W000817,291
B001277,W000800,290
B001277,W000802,288
B001277,M000133,286
B001288,P000145,283
M001176,W000817,281
B001288,W000800,274
B001277,K000367,273
M001176,W000800,270
B001288,M000133,267
B001277,S000033,266
M001176,W000779,265
M000133,S000033,264
B001288,M001176,263
M000133,M001176,263
B001277,D000563,262
K000367,S001203,262
B001277,H001042,260
B001277,W000779,259
S000033,W000800,255
M001176,S000033,252
B001277,V000128,250
W000800,W000817,250
M001176,P000145,249
M001176,W000802,247
W000802,W000817,245
P000145,W000817,244
P000145,W000800,242
B001277,S001203,241
B001288,S000033,238
M000133,W000800,238
R000595,S001217,237
W000800,W000802,236
B001288,W000802,235
P000145,W000802,233
P000145,W000779,232
B001230,B001277,230
B001277,C001070,229
H001042,W000817,229
M000133,P000145,229
B001277,G000555,227
B001288,W000779,226
P000145,V000128,226
B001288,H001042,223
H001042,P000145,223
W000779,W000817,221
B001277,M001169,220
B001288,V000128,220
M001176,V000128,219
K000367,W000800,218
W000779,W000800,218
B001230,K000367,217
B001288,D000563,216
C001070,F000479,215
V000128,W000800,215
V000128,W000802,214
M000133,W000779,214
S001203,W000800,214
H001042,M001176,213
H001042,W000802,213
P000145,S000033,213
V000128,W000817,212
W000779,W000802,212
M000133,W000802,212
S001203,W000817,212
B001277,D000622,211
B001310,S001217,211
B001277,F000479,211
M001176,S001203,211
K000367,M001176,210
B001288,K000367,208
K000367,V000128,208
C000880,R000584,208
B000944,B001277,208
B001288,G000555,207
S000033,W000779,207
G000555,W000800,206
H001042,W000800,206
B001288,S001203,205
B001230,M001176,202
P000145,S001203,201
S000033,W000802,200
H001042,M000133,199
B001230,S001203,198
D000563,P000145,197
B001230,C001070,197
C001070,K000367,196
D000563,K000367,196
K000367,P000145,196
S000033,V000128,195
M000133,V000128,195
D000622,W000817,194
H001042,K000367,194
B000944,C001070,194
F000479,W000800,194
K000367,W000802,193
D000563,H001042,192
V000128,W000779,192
B001230,W000817,192
B001277,S001181,192
G000555,P000145,190
D000563,W000800,190
B001288,D000622,189
C001070,V000128,189
D000563,W000817,189
B001230,W000802,189
H001042,S000033,188
K000367,W000817,188
B001243,B001310,188
H001046,P000145,188
B000944,B001230,188
B000944,K000367,188
G000555,M001176,187
H001042,W000779,186
B001230,W000800,186
D000622,P000145,185
D000563,D000622,184
G000555,K000367,184
S001203,V000128,184
H001046,L000570,184
B001277,H001046,184
B001288,C001070,183
D000622,H001042,183
D000622,M001176,183
G000555,W000817,183
B000944,W000817,183
B001230,B001288,183
B001320,P000145,183
D000622,K000367,182
C001070,W000802,181
S001203,W000779,181
H001046,W000800,181
D000563,M000133,180
M000133,S001203,180
C001070,M001176,179
C001070,W000817,179
B001310,R000595,179
C000141,V000128,178
D000563,M001176,178
H001042,V000128,178
K000367,W000779,178
C001070,W000800,178
D000622,W000800,178
S000033,S001203,178
C001070,S001203,177
B000944,W000802,176
B001230,P000145,175
G000555,S001203,175
S001203,W000802,175
B001277,C000141,174
C001070,P000145,174
B000944,M001176,174
B001277,C001113,174
D000563,W000802,173
F000479,M001176,173
F000479,S001203,173
C001070,W000779,172
B001230,S000033,172
F000479,W000802,172
B000944,V000128,171
B001230,M000133,171
B001230,V000128,171
F000479,W000817,171
K000367,S001181,171
B001277,K000384,170
B001288,M001169,170
K000367,S000033,170
B001230,D000622,170
D000563,V000128,169
G000555,W000802,169
B000944,S001203,169
L000570,P000145,169
D000563,S000033,168
D000622,V000128,168
B001310,M001198,168
D000622,S000033,167
K000384,V000128,167
H001046,M001176,167
B000944,P000145,167
B001230,F000479,167
B001230,W000779,167
B001288,H001046,167
C001070,G000555,166
F000062,P000145,166
B001288,F000479,166
F000479,P000145,166
G000555,S000033,165
F000479,G000555,165
F000479,S000033,165
F000479,V000128,165
H001042,S001203,165
M001169,W000817,164
B000944,B001288,164
C001113,K000367,164
K000367,M000133,164
C001070,S000033,163
D000622,W000779,163
D000622,W000802,163
F000479,W000779,163
H001046,W000779,163
C001070,D000622,162
B001230,G000555,162
B001277,M001111,161
C001070,K000384,161
B001243,S001217,161
B000944,W000800,161
D000622,M000133,161
D000622,S001203,161
K000384,P000145,160
B001230,H001042,160
K000367,S000770,159
K000384,M001176,159
M001169,P000145,159
C001070,M000133,159
S001181,W000800,159
B001277,R000122,158
C000141,P000145,158
B000944,S000033,158
B000944,W000779,158
D000563,S001203,158
B001277,F000062,157
B001288,K000384,157
B000944,F000479,157
L000570,W000800,157
G000555,H001042,156
M001169,M001176,156
K000367,K000383,156
D000622,G000555,155
G000555,W000779,155
B001310,C001096,155
C001096,D000618,155
H001046,K000367,155
H001046,W000802,155
C001113,M001176,155
G000555,M000133,155
M000133,M001169,155
M001176,S001181,155
S001181,V000128,155
H001046,S001203,155
C001070,H001042,154
G000555,V000128,154
R000122,W000802,154
L000570,S001203,154
B001277,M000639,153
B001243,R000595,153
B001305,B001310,153
B000944,G000555,153
C001113,P000145,153
F000479,K000367,153
S001181,W000802,153
D000563,W000779,152
K000367,K000384,152
L000570,M001176,151
B001288,C000141,150
B001277,L000570,150
B001288,L000570,150
M001169,W000800,150
C001088,K000367,149
M001111,M001176,149
M001111,P000145,149
B001230,D000563,149
B001230,H001046,149
K000367,L000570,148
L000570,W000779,148
S001181,S001203,148
H001046,W000817,148
B001277,C001088,147
C000141,W000802,147
B001243,C001096,147
M001169,S001203,147
S000770,S001203,147
B001288,M001111,146
C001113,R000608,146
C001088,W000802,145
B000944,D000622,145
B001288,S001181,145
C001070,S001181,145
K000383,S001181,145
C000141,M001176,144
M001111,W000802,144
M001111,W000817,144
B000944,D000563,144
B001230,L000570,144
B001230,S000770,144
B001230,S001181,144
C001113,W000779,144
F000479,H001042,144
P000145,S001181,144
K000384,W000802,143
M001111,W000779,143
C001096,H001061,143
C001113,W000802,143
B001277,K000383,143
C000141,W000817,142
C001070,S000770,142
H001042,S001194,142
M001169,V000128,141
M001169,W000802,141
F000479,M000133,141
K000367,P000595,141
B001277,S000770,140
B001288,C001088,140
C000141,W000779,140
B000944,H001042,140
B000944,M000133,140
C001113,H001042,140
L000570,W000817,140
H001046,M000133,140
B001288,M000639,139
B001243,D000618,139
B001243,T000476,139
C001113,W000817,139
D000563,G000555,138
D000563,M001169,138
B001310,C001098,138
H001079,W000437,138
P000595,S000770,138
C000141,H001042,137
C000141,K000367,137
C000141,K000384,137
M001111,S000033,137
M001176,S000770,137
