bioguide_id,name,party,state
B000944,Sherrod Brown,D,OH
B001230,Tammy Baldwin,D,WI
B001236,John Boozman,R,AR
B001243,Marsha Blackburn,R,TN
B001261,John Barrasso,R,WY
B001267,Michael Bennet,D,CO
B001277,Richard Blumenthal,D,CT
B001288,Cory Booker,D,NJ
B001305,Ted Budd,R,NC
B001310,Mike Braun,R,IN
B001319,Katie Britt,R,AL
B001320,Laphonza Butler,D,CA
C000127,Maria Cantwell,D,WA
C000141,Ben Cardin,D,MD
C000174,Thomas Carper,D,DE
C000880,Mike Crapo,R,ID
C001035,Susan Collins,R,ME
C001047,Shelley Capito,R,WV
C001056,John Cornyn,R,TX
C001070,Bob Casey,D,PA
C001075,Bill Cassidy,R,LA
C001088,Christopher Coons,D,DE
C001095,Tom Cotton,R,AR
C001096,Kevin Cramer,R,ND
C001098,Ted Cruz,R,TX
C001113,Catherine Cortez Masto,D,NV
D000563,Richard Durbin,D,IL
D000618,Steve Daines,R,MT
D000622,Tammy Duckworth,D,IL
E000295,Joni Ernst,R,IA
F000062,Dianne Feinstein,D,CA
F000463,Deb Fischer,R,NE
F000479,John Fetterman,D,PA
G000359,Lindsey Graham,R,SC
G000386,Chuck Grassley,R,IA
G000555,Kirsten Gillibrand,D,NY
H000273,John Hickenlooper,D,CO
H000601,Bill Hagerty,R,TN
H001042,Mazie Hirono,D,HI
H001046,Martin Heinrich,D,NM
H001061,John Hoeven,R,ND
H001076,Maggie Hassan,D,NH
H001079,Cindy Hyde-Smith,R,MS
H001089,Josh Hawley,R,MO
H001097,George Helmy,D,NJ
J000293,Ron Johnson,R,WI
K000367,Amy Klobuchar,D,MN
K000377,Mark Kelly,D,AZ
K000383,Angus King,I,ME
K000384,Timothy Kaine,D,VA
K000393,John Kennedy,R,LA
K000394,Andy Kim,D,NJ
L000570,Ben Luján,D,NM
L000571,Cynthia Lummis,R,WY
L000575,James Lankford,R,OK
L000577,Mike Lee,R,UT
M000133,Edward Markey,D,MA
M000355,Mitch McConnell,R,KY
M000639,Robert Menendez,D,NJ
M000934,Jerry Moran,R,KS
M001111,Patty Murray,D,WA
M001153,Lisa Murkowski,R,AK
M001169,Christopher Murphy,D,CT
M001176,Jeff Merkley,D,OR
M001183,Joseph Manchin,I,WV
M001190,Markwayne Mullin,R,OK
M001198,Roger Marshall,R,KS
O000174,Jon Ossoff,D,GA
P000145,Alex Padilla,D,CA
P000595,Gary Peters,D,MI
P000603,Rand Paul,R,KY
R000122,John Reed,D,RI
R000584,James Risch,R,ID
R000595,Marco Rubio,R,FL
R000605,Mike Rounds,R,SD
R000608,Jacklyn Rosen,D,NV
R000615,Mitt Romney,R,UT
R000618,Pete Ricketts,R,NE
S000033,Bernard Sanders,I,VT
S000148,Charles Schumer,D,NY
S000770,Debbie Stabenow,D,MI
S001181,Jeanne Shaheen,D,NH
S001184,Tim Scott,R,SC
S001191,Kyrsten Sinema,I,AZ
S001194,Brian Schatz,D,HI
S001198,Dan Sullivan,R,AK
S001203,Tina Smith,D,MN
S001217,Rick Scott,R,FL
S001227,Eric Schmitt,R,MO
T000250,John Thune,R,SD
T000278,Tommy Tuberville,R,AL
T000464,Jon Tester,D,MT
T000476,Thomas Tillis,R,NC
V000128,Chris Van Hollen,D,MD
V000137,J. Vance,R,OH
W000437,Roger Wicker,R,MS
W000779,Ron Wyden,D,OR
W000790,Raphael Warnock,D,GA
W000800,Peter Welch,D,VT
W000802,Sheldon Whitehouse,D,RI
W000805,Mark Warner,D,VA
W000817,Elizabeth Warren,D,MA
Y000064,Todd Young,R,IN
